Código territorial,División Política Administrativa,Territorio
8206,Comuna,Los Álamos
8207,Comuna,Tirúa
8301,Comuna,Los Ángeles
8302,Comuna,Antuco
8303,Comuna,Cabrero
8304,Comuna,Laja
8305,Comuna,Mulchén
8306,Comuna,Nacimiento
8307,Comuna,Negrete
8308,Comuna,Quilaco
8309,Comuna,Quilleco
8310,Comuna,San Rosendo
8311,Comuna,Santa Bárbara
8312,Comuna,Tucapel
8313,Comuna,Yumbel
8314,Comuna,Alto Biobío
9101,Comuna,Temuco
9102,Comuna,Carahue
9103,Comuna,Cunco
9104,Comuna,Curarrehue
9105,Comuna,Freire
9106,Comuna,Galvarino
9107,Comuna,Gorbea
9108,Comuna,Lautaro
9109,Comuna,Loncoche
9110,Comuna,Melipeuco
9111,Comuna,Nueva Imperial
9112,Comuna,Padre Las Casas
9113,Comuna,Perquenco
9114,Comuna,Pitrufquén
9115,Comuna,Pucón
9116,Comuna,Saavedra
9117,Comuna,Teodoro Schmidt
9118,Comuna,Toltén
9119,Comuna,Vilcún
9120,Comuna,Villarrica
9121,Comuna,Cholchol
9201,Comuna,Angol
9202,Comuna,Collipulli
9203,Comuna,Curacautín
9204,Comuna,Ercilla
9205,Comuna,Lonquimay
9206,Comuna,Los Sauces
9207,Comuna,Lumaco
9208,Comuna,Purén
9209,Comuna,Renaico
9210,Comuna,Traiguén
9211,Comuna,Victoria
10101,Comuna,Puerto Montt
10102,Comuna,Calbuco
10103,Comuna,Cochamó
10104,Comuna,Fresia
10105,Comuna,Frutillar
10106,Comuna,Los Muermos
10107,Comuna,Llanquihue
10108,Comuna,Maullín
10109,Comuna,Puerto Varas
10201,Comuna,Castro
10202,Comuna,Ancud
10203,Comuna,Chonchi
10204,Comuna,Curaco de Vélez
10205,Comuna,Dalcahue
10206,Comuna,Puqueldón
10207,Comuna,Queilén
10208,Comuna,Quellón
10209,Comuna,Quemchi
10210,Comuna,Quinchao
10301,Comuna,Osorno
10302,Comuna,Puerto Octay
10303,Comuna,Purranque
10304,Comuna,Puyehue
10305,Comuna,Río Negro
10306,Comuna,San Juan de la Costa
10307,Comuna,San Pablo
10401,Comuna,Chaitén
10402,Comuna,Futaleufú
10403,Comuna,Hualaihué
10404,Comuna,Palena
11101,Comuna,Coyhaique
11102,Comuna,Lago Verde
11201,Comuna,Aysén
11202,Comuna,Cisnes
11203,Comuna,Guaitecas
11301,Comuna,Cochrane
11302,Comuna,O'Higgins
11303,Comuna,Tortel
11401,Comuna,Chile Chico
11402,Comuna,Río Ibáñez
12101,Comuna,Punta Arenas
12102,Comuna,Laguna Blanca
12103,Comuna,Río Verde
12104,Comuna,San Gregorio
12201,Comuna,Cabo de Hornos
12202,Comuna,Antártica
12301,Comuna,Porvenir
12302,Comuna,Primavera
12303,Comuna,Timaukel
12401,Comuna,Natales
12402,Comuna,Torres del Paine
13101,Comuna,Santiago
13102,Comuna,Cerrillos
13103,Comuna,Cerro Navia
13104,Comuna,Conchalí
13105,Comuna,El Bosque
13106,Comuna,Estación Central
13107,Comuna,Huechuraba
13108,Comuna,Independencia
13109,Comuna,La Cisterna
13110,Comuna,La Florida
13111,Comuna,La Granja
13112,Comuna,La Pintana
13113,Comuna,La Reina
13114,Comuna,Las Condes
13115,Comuna,Lo Barnechea
13116,Comuna,Lo Espejo
13117,Comuna,Lo Prado
13118,Comuna,Macul
13119,Comuna,Maipú
13120,Comuna,Ñuñoa
13121,Comuna,Pedro Aguirre Cerda
13122,Comuna,Peñalolén
13123,Comuna,Providencia
13124,Comuna,Pudahuel
13125,Comuna,Quilicura
13126,Comuna,Quinta Normal
13127,Comuna,Recoleta
13128,Comuna,Renca
13129,Comuna,San Joaquín
13130,Comuna,San Miguel
13131,Comuna,San Ramón
13132,Comuna,Vitacura
13201,Comuna,Puente Alto
13202,Comuna,Pirque
13203,Comuna,San José de Maipo
13301,Comuna,Colina
13302,Comuna,Lampa
13303,Comuna,Tiltil
13401,Comuna,San Bernardo
13402,Comuna,Buin
13403,Comuna,Calera de Tango
13404,Comuna,Paine
13501,Comuna,Melipilla
13502,Comuna,Alhué
13503,Comuna,Curacaví
13504,Comuna,María Pinto
13505,Comuna,San Pedro
13601,Comuna,Talagante
13602,Comuna,El Monte
13603,Comuna,Isla de Maipo
13604,Comuna,Padre Hurtado
13605,Comuna,Peñaflor
14101,Comuna,Valdivia
14102,Comuna,Corral
14103,Comuna,Lanco
14104,Comuna,Los Lagos
14105,Comuna,Máfil
14106,Comuna,Mariquina
14107,Comuna,Paillaco
14108,Comuna,Panguipulli
14201,Comuna,La Unión
14202,Comuna,Futrono
14203,Comuna,Lago Ranco
14204,Comuna,Río Bueno
15101,Comuna,Arica
15102,Comuna,Camarones
15201,Comuna,Putre
15202,Comuna,General Lagos
16101,Comuna,Chillán
16102,Comuna,Bulnes
16103,Comuna,Chillán Viejo
16104,Comuna,El Carmen
16105,Comuna,Pemuco
16106,Comuna,Pinto
16107,Comuna,Quillón
16108,Comuna,San Ignacio
16109,Comuna,Yungay
16201,Comuna,Quirihue
16202,Comuna,Cobquecura
16203,Comuna,Coelemu
16204,Comuna,Ninhue
16205,Comuna,Portezuelo
16206,Comuna,Ránquil
16207,Comuna,Trehuaco
16301,Comuna,San Carlos
16302,Comuna,Coihueco
16303,Comuna,Ñiquén
16304,Comuna,San Fabián
16305,Comuna,San Nicolás
